agent,needle,alpha,epsilon,reward,back
qlearning_ER.,68.9619678263,0.5,0,7,1
qlearning_RD.,69.4280018166,0.1,0,2,10
qlearning_RDER.,68.9870271174,0.8,0,4,1
qlearning_std.,69.634942476,0.1,0,2,9
sarsa_ER.,69.5741008118,0.1,0,2,9
sarsa_RD.,69.3870512142,0.1,0,5,10
sarsa_RDER.,69.3603470768,0.5,0,5,8
sarsa_std.,69.6370884782,0.1,0,2,9
qlearning_ER12.,65.4551769912,0.3,0,1,10
qlearning_RD12.,66.131166622,1,0,7,9
qlearning_RDER12.,65.5168017469,0.3,0,1,10
qlearning_std12.,67.8425960503,0.1,0,3,6
sarsa_ER12.,67.7418539911,0.1,0,5,5
sarsa_RD12.,66.3021178662,1,0,2,5
sarsa_RDER12.,66.1631936196,1,0,10,7
sarsa_std12.,67.8938192906,0.1,0,5,5
qlearning_ER16.,66.7704451413,0.8,0,6,10
qlearning_RD16.,67.6109668764,1,0,3,4
qlearning_RDER16.,66.8310190364,0.6,0,7,10
qlearning_std16.,68.8353256058,0.1,0,5,3
sarsa_ER16.,68.6974986369,0.1,0,5,8
sarsa_RD16.,67.441499327,1,0,7,2
sarsa_RDER16.,67.5532037592,1,0,10,10
sarsa_std16.,68.7323018858,0.1,0,8,7
qlearning_ER4.,60.1538608968,0.6,0,5,9
qlearning_RD4.,58.8627484307,1,0,9,6
qlearning_RDER4.,60.1407754642,0.9,0,10,10
qlearning_std4.,62.5881079114,0.8,0,7,6
sarsa_ER4.,62.4902878898,0.4,0,9,5
sarsa_RD4.,58.9234861051,1,0,8,5
sarsa_RDER4.,58.9567093421,1,0,9,4
sarsa_std4.,62.5614198674,0.7,0,6,9
qlearning_ER8.,65.1384925749,0.6,0,8,10
qlearning_RD8.,65.368017148,1,0,1,5
qlearning_RDER8.,64.9817419488,0.9,0,4,10
qlearning_std8.,67.1634436979,0.3,0,3,4
sarsa_ER8.,67.0770552604,0.2,0,5,7
sarsa_RD8.,65.0405958539,1,0,1,2
sarsa_RDER8.,65.0856978357,1,0,6,3
sarsa_std8.,67.0995027118,0.1,0,5,3
qlearning_ERvar.,68.1310363981,0.9,0,1,10
qlearning_RDERvar.,68.0940383213,0.9,0,8,10
qlearning_RDvar.,69.4646511917,1,0,6,9
qlearning_stdvar.,71.1466991839,0.2,0,3,10
sarsa_ERvar.,70.9412783002,0.2,0,3,10
sarsa_RDERvar.,69.5703117428,1,0,5,3
sarsa_RDvar.,69.6215342848,1,0,8,10
sarsa_stdvar.,71.0681668534,0.2,0,4,10
